"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Jumper-DNP";;;
2;"U15";"PhoenixContact_MC-G_04x3.81mm_Angled";1;"RS485_PWR_4pin";;;
3;"H6,H3";"MountingHole_2.7mm_M2.5";2;"MountingHole";;;
4;"U1,U2,U3,U4";"VID28-XX_DownMount";4;"VID28-XX";;;
5;"H5,H10,H8,H7,H4,H2,H1";"MountingHole_2.7mm_M2.5_LargeMask";7;"MountingHole";;;
6;"U6,U5";"SOP-28_X12.017";2;"MS_X12.017";;;
7;"U18";"LQFP-48_7x7mm_Pitch0.5mm";1;"LPC845M301JBD48E";;;
8;"SW1";"SW_SPST_KMR2_Small";1;"KMKR221G-LFS";;;
9;"Logo3";"QR_McuOnEclipse_Silkscreen";1;"QR-DNP";;;
10;"Logo2";"HSLU_Logo_Silkscreen";1;"HSLU-DNP";;;
11;"U19";"Pin_Header_Straight_2x05_Pitch1.27mm_SMD";1;"SWD_JTAG_10pin";;;
12;"U14,U12,U13,U10,U8,U9,U7,U11";"SOT-23_2T";8;"AH3572";;;
13;"U17";"SOT-23";1;"XC6206-3.3V";;;
14;"U16";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"SN65HVD72";;;
15;"R6";"R_0603";1;"2.2k";;;
16;"R5,R4,R3";"R_0603";3;"10k";;;
17;"R2";"R_0603";1;"120";;;
18;"R1";"R_0603";1;"10K";;;
19;"Logo1";"Symbol_KiCAD-Logo_CopperAndSilkScreenTop";1;"KiCAD-DNP";;;
20;"FID8,FID7,FID6,FID5,FID4,FID3,FID2,FID1";"Fiducial_1mm_Dia_2.54mm_Outer_CopperTop";8;"Fiducial";;;
21;"D1";"LED_0603";1;"Blue";;;
22;"C14,C13,C8,C6,C7,C5,C16,C4,C2,C3,C1,C11,C10";"C_0603";13;"100nF";;;
23;"C15,C12";"CP_Elec_5x5.3";2;"22uF/16V";;;
24;"C20";"C_0603";1;"0.1uF";;;
25;"C19";"C_0603";1;"105pF";;;
26;"C18";"C_1206";1;"10uF/16V";;;
27;"C21";"C_0603";1;"0.01uF";;;
28;"C17";"C_0603";1;"1uF";;;
